Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,28,8960040,896004000.000000000000000,19,99,80,56.543064093463869,22.828468686671282,506628116.000000000000000,28,43,52,44
,29,8655726,865572600.000000000000000,19,99,80,62.657235106564137,18.794746574101598,542343859.000000000000000,24,53,39,53
,30,3080768,308076800.000000000000000,33,99,66,60.864863566487315,12.547536611097593,187510524.000000000000000,20,53,96,54
,37,5029322,502932200.000000000000000,12,99,87,47.635477505715485,15.789876633602660,239574155.000000000000000,21,43,87,43
,38,8991560,899156000.000000000000000,12,99,87,46.105220228747847,11.991153166762995,414557854.000000000000000,28,43,68,43
,39,8995862,899586200.000000000000000,12,99,87,45.894356649757412,13.423561015290971,412859299.000000000000000,35,43,66,43
,40,8914689,891468900.000000000000000,12,99,87,46.701626383152572,16.921817169998754,416330475.000000000000000,39,43,70,43
,41,8914514,891451400.000000000000000,0,99,99,49.036687586109572,16.389840251756493,437138238.000000000000000,37,43,35,43
,42,8802614,880261400.000000000000000,21,99,78,59.043621928668010,20.538719336960366,519738213.000000000000000,26,44,35,44
,43,8979147,897914700.000000000000000,0,99,99,63.733185011894783,19.885542512910860,572269637.000000000000000,28,43,96,68
,44,8971046,897104600.000000000000000,0,99,99,59.762459806805140,21.395580168867486,536131776.000000000000000,28,43,49,44
,45,8402731,840273100.000000000000000,21,99,78,57.676126368915057,17.435116396238907,484636975.000000000000000,24,53,21,53
,46,1012713,101271300.000000000000000,21,99,78,53.514324393979344,15.850095654649452,54194652.000000000000000,20,43,21,43
,53,6701340,670134000.000000000000000,12,99,87,48.656944432009119,16.226647519310099,326066728.000000000000000,23,43,27,43
,54,8990907,899090700.000000000000000,12,99,87,44.847692896834545,7.599728145415955,403221436.000000000000000,23,43,70,43
,55,8996575,899657500.000000000000000,23,99,76,46.364817611146464,8.289765702176476,417124559.000000000000000,23,43,57,43
,56,8934489,893448900.000000000000000,0,99,99,49.327759987168825,15.607455258690957,440718329.000000000000000,28,43,0,44
