Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,5,717734,71773400.000000000000000,0.000000000000000,92.800003051757813,92.800003051757813,15.901525750730229,20.235762390039810,11413065.683174610137939
,6,5283933,528393300.000000000000000,0.000000000000000,96.300003051757813,96.300003051757813,10.926823104254375,13.613818141998335,57736601.185732126235962
,7,8671982,867198200.000000000000000,0.000000000000000,67.699996948242188,67.699996948242188,7.969300241939143,4.482003328208336,69109628.250691890716553
,8,8708257,870825700.000000000000000,0.000000000000000,97.500000000000000,97.500000000000000,12.291167918761582,9.514777880910779,107034649.066730976104736
,9,8791785,879178500.000000000000000,0.000000000000000,97.500000000000000,97.500000000000000,15.969506718880933,13.779219104573423,140400469.628456592559814
,10,8905488,890548800.000000000000000,0.000000000000000,97.500000000000000,97.500000000000000,33.351178773624099,20.327420148934564,297008522.354364156723022
,11,8958432,895843200.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,20.335951232312855,15.804923511943546,182178236.269990921020508
,12,8808328,880832800.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,18.779133092556258,14.592024320112753,165412763.834889888763428
,13,8617337,861733700.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,21.417160702342308,16.719178767474109,184558891.355240345001221
,14,4312196,431219600.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,20.538721126041956,16.307039763367197,88566991.084833621978760
,21,4825254,482525400.000000000000000,0.000000000000000,96.300003051757813,96.300003051757813,15.359882181480861,19.345407823618093,74115332.935719251632690
,22,9000000,900000000.000000000000000,0.000000000000000,92.800003051757813,92.800003051757813,13.798919640996033,15.516612319127177,124190276.768964290618896
,23,9000000,900000000.000000000000000,0.000000000000000,97.500000000000000,97.500000000000000,12.186231863427347,10.090603923288358,109676086.770846128463745
,24,9000000,900000000.000000000000000,0.000000000000000,97.500000000000000,97.500000000000000,16.307051029301192,13.575902367625641,146763459.263710737228394
,25,9000000,900000000.000000000000000,0.000000000000000,97.500000000000000,97.500000000000000,21.192966891525177,17.619686325337490,190736702.023726582527161
,26,9000000,900000000.000000000000000,0.000000000000000,97.500000000000000,97.500000000000000,20.549130781023649,16.686908840327700,184942177.029212832450867
,27,9000000,900000000.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,25.806352913823314,20.929162212052589,232257176.224409818649292
,28,9000000,900000000.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,34.869439335375468,22.945487078205424,313824954.018379211425781
,29,9000000,900000000.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,20.697992349861781,16.611379479320785,186281931.148756027221680
,30,3732497,373249700.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,15.141111830316081,14.493304694185124,56514154.483319282531738
,37,5032908,503290800.000000000000000,0.000000000000000,96.300003051757813,96.300003051757813,20.025777256621051,18.634795492742398,100787894.561066150665283
,38,9000000,900000000.000000000000000,0.000000000000000,96.300003051757813,96.300003051757813,25.659334776081430,22.243184803629479,230934012.984732866287231
,39,9000000,900000000.000000000000000,0.000000000000000,97.500000000000000,97.500000000000000,29.837920710810554,25.815598607247146,268541286.397294998168945
,40,9000000,900000000.000000000000000,0.000000000000000,97.500000000000000,97.500000000000000,34.124493995216213,28.108614272674490,307120445.956945896148682
,41,9000000,900000000.000000000000000,0.000000000000000,96.800003051757813,96.800003051757813,25.289779560623554,23.429097085516094,227608016.045611977577209
,42,9000000,900000000.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,13.177994735509435,12.966273903689293,118601952.619584918022156
,43,9000000,900000000.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,19.225507982612676,17.884158776812775,173029571.843514084815979
,44,9000000,900000000.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,22.804933804639180,16.916429896431364,205244404.241752624511719
,45,9000000,900000000.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,20.351885133457714,16.044070685640772,183166966.201119422912598
,46,1963823,196382300.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,10.959400845862280,12.755187652948875,21522323.447323799133301
,53,6702138,670213800.000000000000000,0.000000000000000,96.300003051757813,96.300003051757813,18.014666485506737,16.563982604010516,120736780.809841156005859
,54,9000000,900000000.000000000000000,0.000000000000000,96.300003051757813,96.300003051757813,19.773718908103969,16.555395023515540,177963470.172935724258423
,55,9000000,900000000.000000000000000,0.000000000000000,91.599998474121094,91.599998474121094,23.729473781750308,18.670115795464628,213565264.035752773284912
,56,9000000,900000000.000000000000000,0.000000000000000,96.800003051757813,96.800003051757813,26.094263639527188,25.679119452759483,234848372.755744695663452
,57,9000000,900000000.000000000000000,0.000000000000000,96.800003051757813,96.800003051757813,35.830403533254170,30.305955183474609,322473631.799287557601929
,58,9000000,900000000.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,41.219122601713977,31.171506928463394,370972103.415425777435303
,59,9000000,900000000.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,14.660129159482638,14.907706026539428,131941162.435343742370605
,60,9000000,900000000.000000000000000,0.000000000000000,94.000000000000000,94.000000000000000,16.625944555127038,13.421742407304590,149633500.996143341064453
,61,9000000,900000000.000000000000000,0.000000000000000,95.500000000000000,95.500000000000000,30.786182109284653,18.961342176346516,277075638.983561873435974
,62,3038419,303841900.000000000000000,0.000000000000000,95.500000000000000,95.500000000000000,23.759475749780631,14.849090786161025,72191242.548172712326050
,69,7938539,793853900.000000000000000,0.000000000000000,94.800003051757813,94.800003051757813,20.087716313280808,17.571961373349083,159467119.373915910720825
