Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,58,9000000,900000000.028183221817017,774,1162,388,921.693589666666639,81.992501801736012,8295242307.000000000000000,389,830,1162,932
,59,9000000,900000000.028183221817017,781,1041,260,888.648630333333358,45.022838692300034,7997837673.000000000000000,261,870,1041,887
,60,9000000,900000000.028183221817017,841,1233,392,961.493098000000032,83.901587780805386,8653437882.000000000000000,393,858,1233,950
,61,9000000,900000000.028183221817017,708,1334,626,947.285468222222221,95.939033619763421,8525569214.000000000000000,605,868,1276,926
,62,7795156,779515600.024410367012024,575,954,379,648.253004558215366,93.111890300708552,5053233298.000000000000000,380,581,954,581
,63,15,1500.000000046972218,581,581,0,581.000000000000000,0.000000000000000,8715.000000000000000,1,581,581,581
,68,3711952,371195200.011623859405518,628,1302,674,982.358719617064025,170.771133100451067,3646468414.000000000000000,675,645,1302,1041
,69,9000000,900000000.028183221817017,620,1352,732,953.802570999999944,224.407266954801116,8584223139.000000000000000,733,631,620,986
,70,9000000,900000000.028183221817017,784,1413,629,1157.553187444444347,146.127851448982597,10417978687.000000000000000,630,1262,784,1199
,71,9000000,900000000.028183221817017,859,1444,585,1138.484985111111200,120.300054177957946,10246364866.000000000000000,586,920,1444,1125
,72,9000000,900000000.028183221817017,832,1320,488,969.870812333333333,101.216632541802738,8728837311.000000000000000,489,900,834,934
,73,9000000,900000000.028183221817017,768,1179,411,898.766027000000008,83.402118188340850,8088894243.000000000000000,412,790,1166,900
,74,9000000,900000000.028183221817017,757,1111,354,831.409198222222244,63.336019974010213,7482682784.000000000000000,355,780,1100,813
,75,9000000,900000000.028183221817017,786,1100,314,945.058511555555583,59.272521037792579,8505526604.000000000000000,315,796,786,950
,76,9000000,900000000.028183221817017,747,1261,514,933.295544444444431,105.268042191420420,8399659900.000000000000000,515,858,1261,907
,77,9000000,900000000.028183221817017,779,1307,528,998.320313111111091,80.449874998589209,8984882818.000000000000000,529,915,1292,1009
,78,9000000,900000000.028183221817017,576,997,421,673.180655333333334,95.885240120593565,6058625898.000000000000000,422,579,997,666
,79,1287780,128778000.004032656550407,581,581,0,581.000000000000000,0.000000000000000,748200180.000000000000000,1,581,581,581
