Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,1,1418,0.098472222213251,216.487915039062500,268.346313476562500,51.858398437500000,248.051577881461981,7.374146521428266,351737.137435913085938
,2,1417,0.098402777768813,242.807327270507813,286.226654052734375,43.419326782226563,266.955006041489753,9.765621673284057,378275.243560791015625
,3,1428,0.099166666657632,269.673858642578125,343.247985839843750,73.574127197265625,298.042223142308671,17.673407090763046,425604.294647216796875
,4,1432,0.099444444435385,243.167449951171875,368.292266845703125,125.124816894531250,320.961393910413335,24.664717108144423,459616.716079711914063
,5,1410,0.097916666657746,201.699447631835938,313.569366455078125,111.869918823242188,276.596003679857176,29.908509098442448,390000.365188598632813
,6,1404,0.097499999991117,224.178222656250000,291.974731445312500,67.796508789062500,259.776208687371991,13.631276027938814,364725.796997070312500
,7,1449,0.100624999990833,250.835754394531250,314.382141113281250,63.546386718750000,288.489755286933473,10.681483135842793,418021.655410766601563
,8,1452,0.100833333324147,254.440521240234375,316.718109130859375,62.277587890625000,289.172115851368119,11.187386562574165,419877.912216186523438
,9,1452,0.100833333324147,249.217132568359375,305.194854736328125,55.977722167968750,284.084170202249993,10.757818043435279,412490.215133666992188
,10,1417,0.098402777768813,243.474548339843750,287.880767822265625,44.406219482421875,268.484315310890793,11.633695009143937,380442.274795532226563
,11,1415,0.098263888879937,236.983001708984375,266.284973144531250,29.301971435546875,250.062041977521801,5.874903541234222,353837.789398193359375
,12,1431,0.099374999990946,247.897842407226563,292.319763183593750,44.421920776367188,264.232037835484391,6.267282030321201,378116.046142578125000
,13,1423,0.098819444435441,216.597412109375000,285.651916503906250,69.054504394531250,248.481897210706222,16.921303852032640,353589.739730834960938
,14,1022,0.070972222215756,223.874404907226563,304.759429931640625,80.885025024414063,275.806427390141494,21.869098672146755,281874.168792724609375
,17,1429,0.099236111102070,212.231872558593750,296.431182861328125,84.199310302734375,250.904538581052634,16.828509726665704,358542.585632324218750
,18,1431,0.099374999990946,252.616851806640625,311.480773925781250,58.863922119140625,285.385452579735556,7.399808782657069,408386.582641601562500
,19,1424,0.098888888879880,255.308853149414063,331.196411132812500,75.887557983398438,305.391191128934395,17.866350237112339,434877.056167602539063
,20,1429,0.099236111102070,242.100952148437500,341.786621093750000,99.685668945312500,272.928140137060439,16.143419474799359,390014.312255859375000
,21,1427,0.099097222213194,200.798019409179688,274.273345947265625,73.475326538085938,245.221979570288539,16.813507414221565,349931.764846801757813
,22,1444,0.100277777768642,227.116760253906250,290.822753906250000,63.705993652343750,265.014402056664949,12.995725362736652,382680.796569824218750
,23,1408,0.097777777768870,265.612182617187500,325.099151611328125,59.486968994140625,297.469054048711598,8.346684004256728,418836.428100585937500
,24,1408,0.097777777768870,266.671356201171875,331.744293212890625,65.072937011718750,300.745351249521434,16.770460940680074,423449.454559326171875
,25,1411,0.097986111102184,269.525207519531250,328.281280517578125,58.756072998046875,289.762610356407265,10.413060163277253,408855.043212890625000
,26,1455,0.101041666657461,253.255661010742188,289.286041259765625,36.030380249023438,276.572520535918045,5.754605023413183,402413.017379760742188
,27,1432,0.099444444435385,239.729705810546875,275.380187988281250,35.650482177734375,252.854470077173659,7.452396274186794,362087.601150512695313
,28,1427,0.099097222213194,244.758041381835938,282.873596191406250,38.115554809570313,264.094740751997620,9.073878824483835,376863.195053100585938
,29,1422,0.098749999991003,227.060562133789063,266.823364257812500,39.762802124023438,247.503063357496728,7.258220995708123,351949.356094360351563
,30,946,0.065694444438459,221.558807373046875,293.057891845703125,71.499084472656250,249.162795262407286,14.826793013563515,235708.004318237304688
,33,1431,0.099374999990946,245.460449218750000,305.529968261718750,60.069519042968750,268.404324289637771,13.040565069207096,384086.588058471679688
,34,1436,0.099722222213137,241.472900390625000,320.991912841796875,79.519012451171875,288.157383050095063,19.791574551786322,413794.002059936523438
,35,1444,0.100277777768642,239.116027832031250,289.968261718750000,50.852233886718750,267.854922719939566,10.627285090990078,386782.508407592773438
,36,1425,0.098958333324318,235.618423461914063,286.131652832031250,50.513229370117188,267.456519796806447,9.949712614877805,381125.540710449218750
,37,1447,0.100486111101956,191.507736206054688,274.423675537109375,82.915939331054688,240.294463984786688,20.132207570402670,347706.089385986328125
,38,1423,0.098819444435441,219.048721313476563,283.533966064453125,64.485244750976563,251.743354170069409,14.126132923420544,358230.792984008789063
,39,1417,0.098402777768813,208.057159423828125,306.742523193359375,98.685363769531250,270.306494325841072,21.275200689636126,383024.302459716796875
,40,1452,0.100833333324147,206.448562622070313,314.732666015625000,108.284103393554688,257.472314619164138,25.069428649357285,373849.800827026367188
,41,1450,0.100694444435271,202.984771728515625,315.047332763671875,112.062561035156250,264.964979911014950,25.892069581646936,384199.220870971679688
,42,1408,0.097777777768870,254.196395874023438,282.941284179687500,28.744888305664063,265.089962742545367,5.330054419048880,373246.667541503906250
,43,1437,0.099791666657575,243.271743774414063,273.830993652343750,30.559249877929688,259.435620089579402,6.284066253619702,372808.986068725585938
,44,1435,0.099652777768699,221.911560058593750,279.873016357421875,57.961456298828125,260.264912653800081,11.264687165765187,373480.149658203125000
,45,1441,0.100069444435328,197.348678588867188,273.829895019531250,76.481216430664063,242.785280904035289,17.290547474382610,349853.589782714843750
,46,655,0.045486111106967,196.455871582031250,232.440902709960938,35.985031127929688,208.614084980506021,7.898496254835144,136642.225662231445313
,49,1445,0.100347222213080,253.731246948242188,293.215759277343750,39.484512329101563,273.354911830598496,7.422491743454511,394997.847595214843750
