"Grid_30km","Both","North","South","Sprop","Nprop","NBprop","SBprop","Bprop"
5,10,0,135,0.931034482758621,0,0,0.931034482758621,0.0689655172413793
6,229,5,832,0.784165881244109,0.00597371565113501,0.00597371565113501,0.784165881244109,0.214821763602251
7,54,1,1400,0.962861072902338,0.000713775874375446,0.000713775874375446,0.962861072902338,0.0371134020618557
8,131,1,1533,0.921274038461538,0.000651890482398957,0.000651890482398957,0.921274038461538,0.0786786786786787
9,412,7,1338,0.764571428571429,0.00520446096654275,0.00520446096654275,0.764571428571429,0.234490608992601
10,174,2,1713,0.907790143084261,0.00116618075801749,0.00116618075801749,0.907790143084261,0.0921122286924299
11,28,0,1543,0.982176957352005,0,0,0.982176957352005,0.0178230426479949
12,35,9,1817,0.98110151187905,0.00492880613362541,0.00492880613362541,0.98110151187905,0.0188070929607738
13,9,7,1846,0.995148247978437,0.00377765785213168,0.00377765785213168,0.995148247978437,0.00483351235230934
14,56,2,748,0.930348258706468,0.00266666666666667,0.00266666666666667,0.930348258706468,0.0694789081885856
21,112,22,836,0.881856540084388,0.0256410256410256,0.0256410256410256,0.881856540084388,0.115463917525773
22,168,7,1837,0.916209476309227,0.00379609544468547,0.00379609544468547,0.916209476309227,0.0834990059642147
23,111,6,1755,0.940514469453376,0.00340715502555366,0.00340715502555366,0.940514469453376,0.0592948717948718
24,28,0,1899,0.985469641930462,0,0,0.985469641930462,0.0145303580695381
25,28,0,1946,0.985815602836879,0,0,0.985815602836879,0.0141843971631206
26,56,0,1970,0.972359328726555,0,0,0.972359328726555,0.0276406712734452
27,212,34,1549,0.879613855763771,0.0214782059380922,0.0214782059380922,0.879613855763771,0.118105849582173
28,267,77,1544,0.852567642186637,0.0475015422578655,0.0475015422578655,0.852567642186637,0.141419491525424
29,472,47,1483,0.758567774936061,0.030718954248366,0.030718954248366,0.758567774936061,0.235764235764236
30,451,76,317,0.412760416666667,0.193384223918575,0.193384223918575,0.412760416666667,0.53436018957346
37,60,17,953,0.940769990128332,0.0175257731958763,0.0175257731958763,0.940769990128332,0.058252427184466
38,697,14,1328,0.655802469135802,0.0104321907600596,0.0104321907600596,0.655802469135802,0.341834232466896
39,341,27,1670,0.830432620586773,0.0159104301708898,0.0159104301708898,0.830432620586773,0.167320902845927
40,108,39,1857,0.945038167938931,0.0205696202531646,0.0205696202531646,0.945038167938931,0.0538922155688623
41,20,7,1768,0.988814317673378,0.00394366197183099,0.00394366197183099,0.988814317673378,0.011142061281337
42,26,11,1688,0.984830805134189,0.0064743967039435,0.0064743967039435,0.984830805134189,0.0150724637681159
43,549,74,1296,0.702439024390244,0.054014598540146,0.054014598540146,0.702439024390244,0.286086503387181
44,887,152,911,0.506674082313682,0.142991533396049,0.142991533396049,0.506674082313682,0.454871794871795
45,981,314,810,0.452261306532663,0.279359430604982,0.279359430604982,0.452261306532663,0.46603325415677
46,206,96,140,0.404624277456647,0.406779661016949,0.406779661016949,0.404624277456647,0.46606334841629
53,108,24,1309,0.92378263937897,0.0180045011252813,0.0180045011252813,0.92378263937897,0.0749479528105482
54,1033,9,1040,0.50168837433671,0.00857959961868446,0.00857959961868446,0.50168837433671,0.496157540826129
55,1169,41,877,0.428641251221896,0.0446623093681917,0.0446623093681917,0.428641251221896,0.560134163871586
56,503,48,1491,0.747743229689067,0.0311890838206628,0.0311890838206628,0.747743229689067,0.246327130264447
57,131,32,1702,0.928532460447354,0.0184544405997693,0.0184544405997693,0.928532460447354,0.0702412868632708
58,23,13,1742,0.986968838526912,0.00740740740740741,0.00740740740740741,0.986968838526912,0.0129358830146232
59,281,15,1692,0.857577293461733,0.00878734622144113,0.00878734622144113,0.857577293461733,0.141348088531187
60,1148,143,677,0.370958904109589,0.174390243902439,0.174390243902439,0.370958904109589,0.583333333333333
61,1179,509,422,0.263585259212992,0.54672395273899,0.54672395273899,0.263585259212992,0.558767772511848
62,268,410,61,0.185410334346505,0.870488322717622,0.870488322717622,0.185410334346505,0.362652232746955
69,131,62,1384,0.913531353135314,0.0428769017980636,0.0428769017980636,0.913531353135314,0.0830691185795815
70,620,39,1365,0.687657430730479,0.0277777777777778,0.0277777777777778,0.687657430730479,0.306324110671937
71,1009,73,1114,0.524729156853509,0.0614995787700084,0.0614995787700084,0.524729156853509,0.459471766848816
72,582,79,1584,0.731301939058172,0.047504509921828,0.047504509921828,0.731301939058172,0.25924276169265
73,141,120,2169,0.938961038961039,0.0524246395806029,0.0524246395806029,0.938961038961039,0.0580246913580247
74,68,42,1751,0.962616822429907,0.0234244283324038,0.0234244283324038,0.962616822429907,0.0365394948952176
75,48,5,1662,0.971929824561404,0.002999400119976,0.002999400119976,0.971929824561404,0.0279883381924198
76,488,32,1319,0.729939125622579,0.0236861584011843,0.0236861584011843,0.729939125622579,0.265361609570419
77,1072,420,601,0.359234907352062,0.411361410381978,0.411361410381978,0.359234907352062,0.512183468705208
78,504,631,88,0.148648648648649,0.877607788595271,0.877607788595271,0.148648648648649,0.41210139002453
83,0,2,0,NA,1,1,NA,0
84,110,92,485,0.815126050420168,0.159445407279029,0.159445407279029,0.815126050420168,0.160116448326055
85,181,61,1666,0.902003248511099,0.0353213665315576,0.0353213665315576,0.902003248511099,0.0948637316561845
86,517,121,1465,0.739152371342079,0.0762925598991173,0.0762925598991173,0.739152371342079,0.245839277223015
87,440,755,1065,0.707641196013289,0.414835164835165,0.414835164835165,0.707641196013289,0.194690265486726
