"SP_new","count","Zone"
"AL",2,"North"
"BA",5,"North"
"BE",28,"North"
"CE",50,"North"
"FI",50,"North"
"HE",50,"North"
"IR",2,"North"
"JP",3,"North"
"RM",18,"North"
"RP",36,"North"
"SP",50,"North"
"SU",13,"North"
"TA",25,"North"
"WB",50,"North"
"WE",35,"North"
"WM",1,"North"
"WP",47,"North"
"YB",50,"North"
